step,t,atom_id,mol,x,y,z,ent,p2,q2,q4,q6,q8,q10,v,nfaces,h,ent_category,S_i,S_band1,S_band2,S_band3,S_band4,S_band5,S_band6,Cluster_Label
1580,15800000,1,1,9.383338,5.655977,13.519098,-6.196,-0.5,0.0435443958783616,0.0769111744715962,0.0889137530202941,0.0381665496334012,0.034853440476754,0.825576,23,0.126702739726028,1,-4.701,-6.3565,-5.64675,-5.49492857142857,-5.97551515151515,-6.65938461538462,-6.36025333333333,0
1580,15800000,2,1,9.261218,5.988747,13.358398,-6.107,-0.1763,0.0339561723443588,0.0796102598080092,0.0708928819957408,0.0433853471933502,0.0462781236698577,0.457881,16,0.613717391304348,1,-4.668,-7.00733333333333,-5.3445,-5.39454166666667,-6.46614814814815,-6.36471739130435,-6.28309333333333,0
1580,15800000,3,1,9.451438,6.126887,13.053698,-6.223,-0.1572,0.0647116887282716,0.141401938288952,0.0974485600949408,0.0665654262456961,0.0558800089452303,0.527742,15,0.652952112676056,1,-8.045,-5.55,-4.48,-5.73240909090909,-6.22965714285714,-5.67908108108108,-6.58741860465116,0
1580,15800000,4,1,9.223138,6.328927,12.799098,-6.219,-0.23,0.0475698237439079,0.126027365238343,0.108323678365819,0.0543934879591413,0.0478317696532307,0.484508,17,0.546533870967742,1,-8.276,-5.52975,-5.9046,-6.20265217391304,-6.02065,-6.0818125,-6.23659756097561,0
1580,15800000,5,1,9.364848,6.355787,12.433798,-6.171,0.0823,0.0392841957769131,0.123271230838427,0.10829523838162,0.0590024332964713,0.0452733727507734,0.51353,12,1.0768,1,-4.555,-6.72125,-5.0914,-6.83405882352941,-6.27939393939394,-5.85992857142857,-6.16966666666667,0
1580,15800000,6,1,9.358458,6.014597,12.234098,-6.502,0.0566,0.0442241030579617,0.15397131792487,0.146181881197524,0.0621878416640225,0.0532774815465054,0.430614,14,1.02697083333333,1,-4.851,-5.76275,-7.13416666666667,-7.2134375,-6.5262972972973,-6.25783333333333,-6.36418309859155,1
1580,15800000,7,1,9.388208,6.019567,11.848798,-6.659,0.0581,0.0271561313096763,0.154883317044738,0.180007653822011,0.0749843953407126,0.0518823994049526,0.549427,15,-0.285430666666667,1,-5.713,-4.52475,-7.75525,-7.26603846153846,-6.6265,-6.69589583333333,-6.25598648648649,1
1580,15800000,8,1,9.416728,5.685197,11.641398,-6.975,0.6012,0.0272875062409763,0.169523210895765,0.22000247342094,0.0916079621447029,0.0699910917160233,0.371378,14,-1.11256753246753,1,-4.507,-5.27525,-8.3757,-7.7304,-6.69678571428572,-6.799,-6.86587323943662,1
1580,15800000,9,1,9.740798,5.485787,11.751098,-6.902,0.5463,0.0312548560303279,0.179743057328948,0.228533434241585,0.0956013349779395,0.0841923170615081,0.539401,17,-1.34305277777778,1,-4.186,-5.755,-7.17766666666667,-8.0038,-6.64603448275862,-6.50189583333333,-6.99782608695652,1
1580,15800000,10,1,9.809898,5.168677,11.521898,-7.22,0.6716,0.0391135667402589,0.180324706232743,0.240819480658717,0.104787200867098,0.0866933698469068,0.34734,12,-1.92494358974359,1,-6.351,-6.506,-7.6563,-8.28142105263158,-6.81767741935484,-7.17742,-7.13335135135135,1
