step,t,atom_id,mol_id,x,y,z,ent,p2,q6
1050,10500000,1010,7.0,15.209336,13.396125,14.813699,-5.965,0.3245,0.12838959
1050,10500000,2930,20.0,14.894536,15.272025,12.030899,-5.014,0.1724,0.08582246
1050,10500000,50,1.0,14.792936,12.048325,12.888999,-5.337,-0.1114,0.07395691
1050,10500000,6322,43.0,12.583136,15.588525,13.198099,-4.986,-0.1623,0.08214351
1050,10500000,1011,7.0,15.440136,13.714225,14.861899,-5.766,0.346,0.12339656
1050,10500000,6323,43.0,12.392436,15.572725,13.546999,-5.043,-0.1372,0.08473959
1050,10500000,1012,7.0,15.804536,13.618425,14.965899,-5.84,0.1409,0.12192994
1050,10500000,6324,43.0,12.240336,15.220825,13.624899,-5.252,0.4462,0.12276457
1050,10500000,2238,15.0,2.324796,3.956615,0.455791,-4.962,0.1136,0.05705433
1050,10500000,7486,50.0,1.307156,1.908275,3.534619,-5.221,0.1762,0.08110098
1050,10500000,1854,13.0,2.094736,1.8837550000000003,1.462069,-5.231,0.298,0.10271203
1050,10500000,2110,15.0,3.774966,1.699475,1.468349,-5.086,0.1624,0.06819493
1050,10500000,1855,13.0,2.370466,2.040065,1.246429,-5.123,0.3161,0.09778639
1050,10500000,7295,49.0,0.4878039999999999,3.983395,1.774869,-5.119,0.0824,0.07815295
1050,10500000,7487,50.0,0.948096,1.751655,3.526119,-5.197,0.2019,0.07446287
1050,10500000,4799,32.0,0.769126,0.7748149999999999,1.778319,-5.266,-0.0758,0.08388806
1050,10500000,4796,32.0,0.6854229999999999,1.6261450000000002,2.270649,-5.298,-0.0033,0.09431411
1050,10500000,1852,13.0,1.981426,1.3717549999999998,1.878699,-5.188,0.3454,0.09454343
1050,10500000,4797,32.0,0.7250460000000001,1.3898549999999998,1.939299,-5.324,0.0084,0.10138629
1050,10500000,7485,50.0,1.259856,2.2827550000000003,3.636469,-5.147,0.1612,0.07415802
1050,10500000,2109,15.0,3.600946,1.864375,1.162739,-5.048,0.1004,0.07489447
1050,10500000,1853,13.0,2.134656,1.506475,1.544419,-5.223,0.3153,0.10894908
1050,10500000,4798,32.0,0.5615589999999999,1.048655,1.964749,-5.322,-0.1049,0.1069456
1050,10500000,7294,49.0,0.1668179999999999,3.874905,1.966029,-5.154,0.1467,0.06303554
1050,10500000,7271,49.0,0.1310429999999999,3.665765,0.2887249999999999,-5.119,0.2245,0.06257714
1050,10500000,7208,49.0,3.016156,1.4038149999999998,2.572069,-5.06,0.1859,0.08610574
1050,10500000,7272,49.0,0.217683,3.862015,0.6144160000000001,-5.079,0.0275,0.07734539
1050,10500000,7209,49.0,2.981646,1.0825550000000002,2.344919,-5.043,0.1403,0.09751127
1050,10500000,7210,49.0,2.872326,0.750155,2.502979,-5.062,0.358,0.09366757
1050,10500000,1130,8.0,2.420356,0.28639,3.989929,-5.103,-0.2166,0.0858814
1050,10500000,1131,8.0,2.229326,0.4501419999999999,3.675459,-5.087,0.017,0.08569315
1050,10500000,7211,49.0,3.085396,0.594261,2.794709,-5.02,0.2883,0.08723034
1050,10500000,1300,9.0,3.186026,1.7622150000000003,7.731799,-4.942,0.1134,0.09260498
1050,10500000,2644,18.0,3.619616,3.3994150000000003,4.648229,-5.0,0.3123,0.07892734
1050,10500000,7444,50.0,2.229346,0.2393009999999999,5.684899,-5.09,0.0454,0.11879255
1050,10500000,4564,31.0,1.702026,1.341545,4.246889,-5.038,0.2313,0.09874803
1050,10500000,4565,31.0,1.785046,1.664575,4.455709,-5.035,0.2921,0.0832305
1050,10500000,2645,18.0,3.342816,3.121475,4.650519,-5.062,0.4822,0.08121422
1050,10500000,853,6.0,2.418786,0.970215,6.904008999999999,-4.979,0.1391,0.09249505
1050,10500000,7445,50.0,2.537996,0.4478449999999999,5.551609,-5.2,0.1243,0.10860811
1050,10500000,4561,31.0,1.474196,0.527118,4.407849,-5.082,-0.1689,0.08657932
1050,10500000,850,6.0,3.139046,1.5234549999999998,6.454149,-5.045,0.1674,0.06872216
1050,10500000,4562,31.0,1.334096,0.794155,4.137759,-5.101,-0.1275,0.09393706
1050,10500000,851,6.0,2.979226,1.311775,6.740589,-5.016,0.1904,0.08569449
1050,10500000,2643,18.0,3.965936,3.245915,4.646979,-4.967,0.2577,0.07430313
1050,10500000,4563,31.0,1.353266,1.174105,4.263549,-5.013,0.2037,0.08524703
1050,10500000,1299,9.0,3.575396,1.752765,7.718729,-5.064,0.0494,0.06877831
1050,10500000,852,6.0,2.600536,1.219715,6.661769,-4.991,0.1748,0.0883914
1050,10500000,4557,31.0,0.774826,0.1507839999999999,5.261519,-4.87,0.1198,0.06734527
1050,10500000,846,6.0,3.405456,2.534485,6.112779,-5.127,-0.0036,0.06071424
1050,10500000,4558,31.0,1.160766,0.225963,5.303989,-4.936,0.2204,0.08008545
1050,10500000,4559,31.0,1.363256,0.245908,4.997259,-5.007,-0.1721,0.08857855
1050,10500000,847,6.0,3.462846,2.268155,6.395468999999999,-5.053,-0.0175,0.06072761
1050,10500000,4560,31.0,1.266196,0.530089,4.746229,-4.952,-0.1876,0.07685961
1050,10500000,848,6.0,3.583026,1.9129050000000003,6.246759,-5.081,-0.0814,0.07208118
1050,10500000,849,6.0,3.509096,1.605045,6.470189,-5.058,0.0824,0.06691864
1050,10500000,2228,15.0,2.858036,1.585845,0.515253,-5.074,-0.1286,0.09266718
