step,t,atom_id,mol_id,x,y,z,S,xlo,xhi,ylo,yhi,zlo,zhi,S_ave_0.4to0.8,S_ave_0.8to1.1,S_ave_1.1to1.5,S_ave_1.5to1.9,S_ave_1.9to2.3,S_ave_2.3to2.7
1,23000000,1,1.0,3.49089,13.8029,15.5091,-7.898,0.0,0.0,0.0,0.0,0.0,0.0,-5.058,-4.83625,-5.215793103448275,-4.859000000000001,-5.038622222222222,-5.2773295454545455
1,23000000,2,1.0,3.16066,13.7277,15.314,-6.007,0.0,0.0,0.0,0.0,0.0,0.0,-5.670333333333333,-4.869,-5.5045789473684215,-4.647032258064517,-4.813394736842105,-5.1610000000000005
1,23000000,3,1.0,3.17122,13.7702,14.9243,-4.109,0.0,0.0,0.0,0.0,0.0,0.0,-5.76425,-4.580666666666667,-5.315789473684211,-4.915909090909091,-4.782538461538462,-5.2166338028169
1,23000000,4,1.0,3.40049,13.5156,14.7277,-5.004,0.0,0.0,0.0,0.0,0.0,0.0,-4.91275,-5.553666666666666,-5.242333333333334,-4.815351351351351,-4.9899767441860465,-5.212469696969697
1,23000000,5,1.0,3.28864,13.413,14.3604,-4.148,0.0,0.0,0.0,0.0,0.0,0.0,-4.63425,-5.128,-5.430285714285715,-4.661588235294118,-4.964641025641026,-4.983161764705882
1,23000000,6,1.0,3.59029,13.2376,14.1495,-5.387,0.0,0.0,0.0,0.0,0.0,0.0,-4.47875,-5.5048,-5.238739130434783,-4.5828750000000005,-4.921525,-5.396215384615384
1,23000000,7,1.0,3.50863,13.04,13.8168,-4.037,0.0,0.0,0.0,0.0,0.0,0.0,-5.32525,-4.629,-4.785454545454545,-5.183757575757577,-4.460761904761904,-5.389238095238095
1,23000000,8,1.0,3.30737,12.7168,13.8455,-4.726,0.0,0.0,0.0,0.0,0.0,0.0,-5.5035,-4.506,-4.952318181818182,-4.906785714285715,-4.687619047619047,-5.405797468354431
1,23000000,9,1.0,3.27955,12.4992,13.5126,-7.04,0.0,0.0,0.0,0.0,0.0,0.0,-3.976333333333333,-5.0962499999999995,-4.819833333333333,-4.52125,-5.149736842105263,-5.274879518072289
1,23000000,10,1.0,3.00294,12.2382,13.5039,-5.55,0.0,0.0,0.0,0.0,0.0,0.0,-4.059666666666666,-5.338222222222223,-4.539391304347825,-4.85908,-5.186428571428571,-5.204462686567164
1,23000000,11,1.0,2.65658,12.3748,13.6362,-3.166,0.0,0.0,0.0,0.0,0.0,0.0,-5.417999999999999,-5.1565,-4.826947368421052,-4.689269230769231,-5.34756862745098,-5.17578125
1,23000000,12,1.0,2.41044,12.0763,13.679,-4.287,0.0,0.0,0.0,0.0,0.0,0.0,-5.061249999999999,-5.287,-4.9905454545454555,-4.965586206896552,-5.066454545454546,-5.33275
1,23000000,13,1.0,2.04142,12.1223,13.8211,-4.795,0.0,0.0,0.0,0.0,0.0,0.0,-4.96275,-4.5548,-5.388357142857143,-5.174566666666666,-4.810024390243902,-5.407761904761904
1,23000000,14,1.0,1.82305,11.8007,13.8109,-6.734,0.0,0.0,0.0,0.0,0.0,0.0,-4.88425,-3.8336666666666672,-5.524466666666667,-5.102818181818182,-4.800864864864865,-5.191106060606061
1,23000000,15,1.0,1.46709,11.88,13.9365,-5.664,0.0,0.0,0.0,0.0,0.0,0.0,-5.144500000000001,-6.0282,-5.24336,-5.298205882352941,-5.059588235294118,-5.3562894736842095
1,23000000,16,1.0,1.223,11.5789,13.8855,-4.791,0.0,0.0,0.0,0.0,0.0,0.0,-5.636000000000001,-5.304571428571428,-5.394153846153847,-5.299919999999999,-4.943260869565217,-5.376647058823529
1,23000000,17,1.0,0.849835,11.7169,13.8792,-4.258,0.0,0.0,0.0,0.0,0.0,0.0,-5.879600000000001,-5.751666666666666,-5.722086956521738,-5.01941935483871,-5.06419512195122,-5.5138333333333325
1,23000000,18,1.0,0.611633,11.401,13.872,-5.888,0.0,0.0,0.0,0.0,0.0,0.0,-5.526000000000001,-5.059800000000001,-5.454481481481482,-5.406896551724137,-5.000717948717949,-5.623928571428572
1,23000000,19,1.0,16.1055,11.4628,13.615,-7.827,0.0,0.0,0.0,0.0,0.0,0.0,-4.753333333333334,-5.0478000000000005,-5.524821428571428,-5.191148148148147,-5.493071428571428,-5.42013432835821
1,23000000,20,1.0,15.9013,11.7566,13.7339,-5.228,0.0,0.0,0.0,0.0,0.0,0.0,-5.1312500000000005,-5.131333333333334,-5.812566666666667,-5.288307692307692,-5.179658536585366,-5.463028169014085
1,23000000,21,1.0,15.6185,11.8456,13.49,-4.114,0.0,0.0,0.0,0.0,0.0,0.0,-5.98175,-5.450166666666665,-5.603958333333334,-5.436407407407408,-5.105244444444444,-5.495324675324675
1,23000000,22,1.0,15.3871,12.116,13.6501,-6.265,0.0,0.0,0.0,0.0,0.0,0.0,-5.137,-5.309,-5.89492,-5.330333333333334,-5.181756097560975,-5.513346153846154
1,23000000,23,1.0,15.5321,12.4746,13.6975,-4.607,0.357,16.153,0.357,16.153,0.357,16.153,-5.425,-6.336666666666666,-6.0726249999999995,-5.149705882352941,-4.8305,-5.294226666666666
1,23000000,24,1.0,15.267,12.7211,13.8577,-6.599,0.0,0.0,0.0,0.0,0.0,0.0,-5.96125,-5.677714285714287,-5.629391304347826,-5.31421875,-5.00405,-5.574162162162162
