step,t,atom_id,mol_id,x,y,z,pe,h,xlo,xhi,ylo,yhi,zlo,zhi,h_ave
1,23000000,23,1.0,15.5321,12.4746,13.6975,-3.1304,4.7302,0.3571,16.1529,0.3571,16.1529,0.3571,16.1529,7.680559090909091
1,23000000,24,1.0,15.267,12.7211,13.8577,-6.2866,1.574,0.0,0.0,0.0,0.0,0.0,0.0,7.298988059701491
1,23000000,25,1.0,15.4132,13.0712,13.9846,5.7876,13.6482,0.0,0.0,0.0,0.0,0.0,0.0,7.0601794117647065
1,23000000,8480,57.0,12.9744,6.90778,3.81837,4.0309,11.8915,0.0,0.0,0.0,0.0,0.0,0.0,8.250866233766233
1,23000000,3627,25.0,14.2911,3.79461,5.36361,4.0692,11.9298,0.0,0.0,0.0,0.0,0.0,0.0,8.863955
1,23000000,22,1.0,15.3871,12.116,13.6501,-5.2535,2.6071,0.0,0.0,0.0,0.0,0.0,0.0,7.7685666666666675
1,23000000,910,7.0,3.79113,2.99338,3.42013,9.6434,17.504,0.0,0.0,0.0,0.0,0.0,0.0,11.057920000000001
1,23000000,914,7.0,3.83491,3.63824,2.55877,7.6335,15.4942,0.0,0.0,0.0,0.0,0.0,0.0,9.673882666666666
1,23000000,26,1.0,15.1548,13.3488,14.0238,2.0683,9.9289,0.0,0.0,0.0,0.0,0.0,0.0,6.9372953846153855
1,23000000,7287,49.0,12.3246,6.27652,15.1351,9.0197,16.8803,0.0,0.0,0.0,0.0,0.0,0.0,4.864387323943662
1,23000000,1140,8.0,5.65519,15.9035,4.51851,-2.036,5.8246,0.0,0.0,0.0,0.0,0.0,0.0,7.201409090909091
1,23000000,7256,49.0,2.55393,3.3366,2.31973,0.1225,7.9831,0.0,0.0,0.0,0.0,0.0,0.0,7.953389333333333
1,23000000,3156,22.0,1.08159,3.18321,6.76201,-2.8666,4.994,0.0,0.0,0.0,0.0,0.0,0.0,4.208727536231884
1,23000000,3155,22.0,1.09297,3.54465,6.60416,-7.9644,-0.1038,0.0,0.0,0.0,0.0,0.0,0.0,4.851227142857143
1,23000000,21,1.0,15.6185,11.8456,13.49,-4.1109,3.7497,0.0,0.0,0.0,0.0,0.0,0.0,8.478666666666667
1,23000000,7258,49.0,2.06952,3.72497,2.05278,2.8939,10.7545,0.0,0.0,0.0,0.0,0.0,0.0,8.278613636363636
1,23000000,7201,49.0,7.03296,1.76393,10.3706,-14.2167,-6.3561,0.0,0.0,0.0,0.0,0.0,0.0,8.40425945945946
1,23000000,7202,49.0,7.20919,1.97673,10.0839,-5.0256,2.835,0.0,0.0,0.0,0.0,0.0,0.0,8.149894594594594
1,23000000,3629,25.0,13.6747,3.58442,5.14743,2.5473,10.4079,0.0,0.0,0.0,0.0,0.0,0.0,9.29835890410959
1,23000000,7265,49.0,1.28037,5.63525,2.10229,-4.5304,3.3302,0.0,0.0,0.0,0.0,0.0,0.0,9.37073870967742
1,23000000,748,5.0,14.1352,12.0281,3.21753,2.184,10.0446,0.0,0.0,0.0,0.0,0.0,0.0,3.5513863013698628
1,23000000,7263,49.0,1.27514,4.99611,2.31825,4.226,12.0866,0.0,0.0,0.0,0.0,0.0,0.0,9.203397014925374
1,23000000,7259,49.0,1.94713,4.08982,2.03947,0.8915,8.7521,0.0,0.0,0.0,0.0,0.0,0.0,8.499284722222221
1,23000000,7260,49.0,1.97531,4.23785,2.39613,-0.8167,7.0439,0.0,0.0,0.0,0.0,0.0,0.0,8.772465333333333
1,23000000,7295,49.0,10.5266,4.64533,14.1509,7.5745,15.4351,0.0,0.0,0.0,0.0,0.0,0.0,9.062982857142858
1,23000000,7261,49.0,1.84059,4.59916,2.43157,0.9883,8.8489,0.0,0.0,0.0,0.0,0.0,0.0,8.99584328358209
1,23000000,7264,49.0,1.43856,5.26576,2.06942,5.0055,12.8661,0.0,0.0,0.0,0.0,0.0,0.0,9.117570422535213
1,23000000,7262,49.0,1.46354,4.64824,2.32313,5.3665,13.2271,0.0,0.0,0.0,0.0,0.0,0.0,9.273841428571428
1,23000000,6988,47.0,13.5218,6.16834,13.2171,3.8095,11.6701,0.0,0.0,0.0,0.0,0.0,0.0,7.400012987012987
1,23000000,3605,25.0,0.437349,0.717173,10.2284,-2.5228,5.3378,0.0,0.0,0.0,0.0,0.0,0.0,6.874181999999999
1,23000000,3621,25.0,15.5658,3.52077,6.5556,11.3467,19.2073,0.0,0.0,0.0,0.0,0.0,0.0,5.7075411764705875
1,23000000,7245,49.0,4.97855,1.40292,2.93458,-2.4186,5.4421,0.0,0.0,0.0,0.0,0.0,0.0,8.923538461538461
1,23000000,909,7.0,3.44678,2.97713,3.6198,10.4817,18.3423,0.0,0.0,0.0,0.0,0.0,0.0,10.499872463768115
1,23000000,907,7.0,3.4272,2.48903,4.05794,14.4571,22.3177,0.0,0.0,0.0,0.0,0.0,0.0,10.105435135135135
1,23000000,906,7.0,3.31641,2.35231,4.40416,11.2596,19.1202,0.0,0.0,0.0,0.0,0.0,0.0,10.349536486486487
1,23000000,908,7.0,3.39424,2.86394,3.99331,17.2706,25.1312,0.0,0.0,0.0,0.0,0.0,0.0,10.756992647058823
1,23000000,20,1.0,15.9013,11.7566,13.7339,5.6618,13.5224,0.0,0.0,0.0,0.0,0.0,0.0,9.202647692307691
1,23000000,3620,25.0,15.4804,3.40402,6.91683,2.6116,10.4722,0.0,0.0,0.0,0.0,0.0,0.0,5.231295714285715
1,23000000,3624,25.0,14.9368,3.92526,5.8248,-1.9066,5.954,0.0,0.0,0.0,0.0,0.0,0.0,6.29515806451613
1,23000000,3623,25.0,15.2828,3.82301,5.97947,4.1048,11.9654,0.0,0.0,0.0,0.0,0.0,0.0,6.064921212121211
1,23000000,905,7.0,2.98446,2.53564,4.46059,27.2963,35.1569,0.0,0.0,0.0,0.0,0.0,0.0,9.855292957746476
1,23000000,904,7.0,2.84963,2.42046,4.80335,-1.2817,6.5789,0.0,0.0,0.0,0.0,0.0,0.0,9.584686764705879
1,23000000,2785,19.0,8.86111,6.28346,14.495,-6.0533,1.8074,0.0,0.0,0.0,0.0,0.0,0.0,6.072653424657534
1,23000000,3622,25.0,15.2939,3.7442,6.36433,8.5907,16.4513,0.0,0.0,0.0,0.0,0.0,0.0,5.728751470588235
1,23000000,7353,50.0,12.8926,13.2288,7.98884,-3.5185,4.3421,0.0,0.0,0.0,0.0,0.0,0.0,7.739455999999999
1,23000000,7354,50.0,12.7086,12.9173,7.82646,-4.0245,3.8361,0.0,0.0,0.0,0.0,0.0,0.0,7.294637333333333
1,23000000,3619,25.0,15.1642,3.20329,6.98714,6.9102,14.7708,0.0,0.0,0.0,0.0,0.0,0.0,5.580411267605634
