step,t,atom_id,mol_id,x,y,z,pe,h,xlo,xhi,ylo,yhi,zlo,zhi
0,22990000,23,1.0,15.6549,12.4396,13.7721,6.3401,11.0012,0.3604,16.1496,0.3604,16.1496,0.3604,16.1496
0,22990000,24,1.0,15.477,12.752,13.6205,-8.4175,-3.7565,0,0,0,0,0,0
0,22990000,25,1.0,15.5072,13.0489,13.865,-6.0282,-1.3672,0,0,0,0,0,0
0,22990000,8480,57.0,13.0884,6.91169,3.5822,2.0071,6.6681,0,0,0,0,0,0
0,22990000,3627,25.0,14.0809,4.07627,5.71906,-1.9493,2.7117,0,0,0,0,0,0
0,22990000,22,1.0,15.6341,12.1034,13.5398,7.5371,12.1982,0,0,0,0,0,0
0,22990000,910,7.0,3.97866,3.01328,3.29989,1.878,6.539,0,0,0,0,0,0
0,22990000,914,7.0,3.27205,3.64439,2.63617,-3.7381,0.9229,0,0,0,0,0,0
0,22990000,26,1.0,15.4223,13.3858,13.6799,1.3683,6.0293,0,0,0,0,0,0
0,22990000,7287,49.0,12.4818,6.60213,15.5026,-4.2938,0.3673,0,0,0,0,0,0
0,22990000,1140,8.0,5.10194,15.8878,5.34214,6.665,11.326,0,0,0,0,0,0
0,22990000,7256,49.0,2.45207,2.80765,2.26731,1.271,5.9321,0,0,0,0,0,0
0,22990000,3156,22.0,1.04563,3.441,7.22449,-2.7607,1.9004,0,0,0,0,0,0
0,22990000,3155,22.0,0.997485,3.48885,6.84783,-0.6601,4.0009,0,0,0,0,0,0
0,22990000,21,1.0,15.8086,11.8,13.735,0.0416,4.7027,0,0,0,0,0,0
0,22990000,7258,49.0,2.0689,3.31944,2.16765,-9.4066,-4.7456,0,0,0,0,0,0
0,22990000,7201,49.0,6.64633,0.985961,10.2913,-15.0609,-10.3999,0,0,0,0,0,0
0,22990000,7202,49.0,6.94581,1.23719,10.2912,-5.9579,-1.2969,0,0,0,0,0,0
0,22990000,3629,25.0,13.4409,4.16296,5.60518,10.1432,14.8042,0,0,0,0,0,0
0,22990000,7265,49.0,1.00339,5.08054,2.57902,-5.7477,-1.0866,0,0,0,0,0,0
0,22990000,748,5.0,14.6742,12.3688,3.68895,-7.7434,-3.0823,0,0,0,0,0,0
0,22990000,7263,49.0,1.3612,4.549,2.71479,0.0143,4.6753,0,0,0,0,0,0
0,22990000,7259,49.0,1.99971,3.69536,2.25432,-5.5308,-0.8698,0,0,0,0,0,0
0,22990000,7260,49.0,1.94441,3.74172,2.64463,-5.3251,-0.6641,0,0,0,0,0,0
0,22990000,7295,49.0,10.9956,5.04472,14.0891,4.7031,9.3642,0,0,0,0,0,0
0,22990000,7261,49.0,1.8353,4.0989,2.75995,10.1839,14.845,0,0,0,0,0,0
0,22990000,7264,49.0,1.22354,4.78947,2.44829,-0.0328,4.6282,0,0,0,0,0,0
0,22990000,7262,49.0,1.51532,4.20491,2.59129,8.5687,13.2298,0,0,0,0,0,0
0,22990000,6988,47.0,14.1357,6.12022,13.4848,2.5851,7.2462,0,0,0,0,0,0
0,22990000,3605,25.0,0.380192,0.970573,9.87939,9.6591,14.3201,0,0,0,0,0,0
0,22990000,3621,25.0,15.4068,3.57546,6.59612,0.803,5.4641,0,0,0,0,0,0
0,22990000,7245,49.0,5.17097,0.849056,2.87,-0.2096,4.4515,0,0,0,0,0,0
0,22990000,909,7.0,3.91721,2.63023,3.40089,-2.3196,2.3414,0,0,0,0,0,0
0,22990000,907,7.0,3.99893,2.65068,4.02869,2.3251,6.9861,0,0,0,0,0,0
0,22990000,906,7.0,4.22669,2.5666,4.35352,1.2223,5.8833,0,0,0,0,0,0
0,22990000,908,7.0,4.14452,2.5114,3.69627,-0.7912,3.8699,0,0,0,0,0,0
0,22990000,20,1.0,0.416527,11.8093,13.7526,-3.4297,1.2314,0,0,0,0,0,0
0,22990000,3620,25.0,15.3118,3.53062,6.9664,2.1364,6.7975,0,0,0,0,0,0
0,22990000,3624,25.0,15.0552,4.2091,5.8731,5.6715,10.3325,0,0,0,0,0,0
0,22990000,3623,25.0,15.3052,3.93201,6.01917,2.9939,7.655,0,0,0,0,0,0
0,22990000,905,7.0,4.07583,2.65296,4.70788,6.7131,11.3742,0,0,0,0,0,0
0,22990000,904,7.0,4.35855,2.62881,4.96389,13.0957,17.7567,0,0,0,0,0,0
0,22990000,2785,19.0,9.20537,6.53308,14.4712,-6.8036,-2.1426,0,0,0,0,0,0
0,22990000,3622,25.0,15.1958,3.83715,6.38225,-1.9895,2.6715,0,0,0,0,0,0
0,22990000,7353,50.0,12.1155,13.0427,7.81324,12.4301,17.0912,0,0,0,0,0,0
