step,t,atom_id,mol_id,v,nfaces,xlo,xhi,ylo,yhi,zlo,zhi
0,22990000,23,1.0,0.375034,13.0,0.36,16.15,0.36,16.15,0.36,16.15
0,22990000,24,1.0,0.477765,16.0,0,0,0,0,0,0
0,22990000,25,1.0,0.390712,20.0,0,0,0,0,0,0
0,22990000,8480,1.0,0.502796,17.0,0,0,0,0,0,0
0,22990000,3627,1.0,0.438731,18.0,0,0,0,0,0,0
0,22990000,22,1.0,0.526915,17.0,0,0,0,0,0,0
0,22990000,910,1.0,0.506925,20.0,0,0,0,0,0,0
0,22990000,914,1.0,0.374545,14.0,0,0,0,0,0,0
0,22990000,26,1.0,0.393544,16.0,0,0,0,0,0,0
0,22990000,7287,1.0,0.389422,17.0,0,0,0,0,0,0
0,22990000,1140,1.0,0.436777,17.0,0,0,0,0,0,0
0,22990000,7256,1.0,0.382931,17.0,0,0,0,0,0,0
0,22990000,3156,1.0,0.422492,14.0,0,0,0,0,0,0
0,22990000,3155,1.0,0.441628,16.0,0,0,0,0,0,0
0,22990000,21,1.0,0.410218,14.0,0,0,0,0,0,0
0,22990000,7258,1.0,0.487461,17.0,0,0,0,0,0,0
0,22990000,7201,2.0,0.950896,26.0,0,0,0,0,0,0
0,22990000,7202,1.0,0.465506,13.0,0,0,0,0,0,0
0,22990000,3629,1.0,0.398567,19.0,0,0,0,0,0,0
0,22990000,7265,1.0,0.444897,19.0,0,0,0,0,0,0
0,22990000,748,1.0,0.376109,15.0,0,0,0,0,0,0
0,22990000,7263,1.0,0.454137,15.0,0,0,0,0,0,0
0,22990000,7259,1.0,0.481104,16.0,0,0,0,0,0,0
0,22990000,7260,1.0,0.415512,17.0,0,0,0,0,0,0
0,22990000,7295,1.0,0.470868,17.0,0,0,0,0,0,0
0,22990000,7261,1.0,0.434895,16.0,0,0,0,0,0,0
0,22990000,7264,1.0,0.449387,20.0,0,0,0,0,0,0
0,22990000,7262,1.0,0.426292,16.0,0,0,0,0,0,0
0,22990000,6988,1.0,0.446193,18.0,0,0,0,0,0,0
0,22990000,3605,1.0,0.518354,19.0,0,0,0,0,0,0
0,22990000,3621,1.0,0.378104,13.0,0,0,0,0,0,0
0,22990000,7245,1.0,0.477193,13.0,0,0,0,0,0,0
0,22990000,909,1.0,0.501647,16.0,0,0,0,0,0,0
0,22990000,907,1.0,0.508817,19.0,0,0,0,0,0,0
0,22990000,906,1.0,0.46382,16.0,0,0,0,0,0,0
0,22990000,908,1.0,0.375705,12.0,0,0,0,0,0,0
0,22990000,20,1.0,0.456152,16.0,0,0,0,0,0,0
0,22990000,3620,1.0,0.393964,16.0,0,0,0,0,0,0
0,22990000,3624,1.0,0.437198,19.0,0,0,0,0,0,0
0,22990000,3623,1.0,0.428717,19.0,0,0,0,0,0,0
0,22990000,905,1.0,0.460734,13.0,0,0,0,0,0,0
0,22990000,904,1.0,0.418473,20.0,0,0,0,0,0,0
0,22990000,2785,1.0,0.386383,15.0,0,0,0,0,0,0
0,22990000,3622,1.0,0.413853,15.0,0,0,0,0,0,0
0,22990000,7353,1.0,0.437242,15.0,0,0,0,0,0,0
0,22990000,7354,1.0,0.489436,15.0,0,0,0,0,0,0
0,22990000,3619,1.0,0.398708,18.0,0,0,0,0,0,0
0,22990000,3618,1.0,0.349239,15.0,0,0,0,0,0,0
