step,t,atom_id,mol_id,x,y,z,S,xlo,xhi,ylo,yhi,zlo,zhi
0,22990000,23,1.0,15.6549,12.4396,13.7721,-5.343,0.36,16.15,0.36,16.15,0.36,16.15
0,22990000,24,1.0,15.477,12.752,13.6205,-5.229,0,0,0,0,0,0
0,22990000,25,1.0,15.5072,13.0489,13.865,-5.283,0,0,0,0,0,0
0,22990000,8480,57.0,13.0884,6.91169,3.5822,-5.18,0,0,0,0,0,0
0,22990000,3627,25.0,14.0809,4.07627,5.71906,-5.317,0,0,0,0,0,0
0,22990000,22,1.0,15.6341,12.1034,13.5398,-5.319,0,0,0,0,0,0
0,22990000,910,7.0,3.97866,3.01328,3.29989,-5.34,0,0,0,0,0,0
0,22990000,914,7.0,3.27205,3.64439,2.63617,-5.478,0,0,0,0,0,0
0,22990000,26,1.0,15.4223,13.3858,13.6799,-5.234,0,0,0,0,0,0
0,22990000,7287,49.0,12.4818,6.60213,15.5026,-6.319,0,0,0,0,0,0
0,22990000,1140,8.0,5.10194,15.8878,5.34214,-5.535,0,0,0,0,0,0
0,22990000,7256,49.0,2.45207,2.80765,2.26731,-5.627,0,0,0,0,0,0
0,22990000,3156,22.0,1.04563,3.441,7.22449,-5.906,0,0,0,0,0,0
0,22990000,3155,22.0,0.997485,3.48885,6.84783,-5.714,0,0,0,0,0,0
0,22990000,21,1.0,15.8086,11.8,13.735,-5.333,0,0,0,0,0,0
0,22990000,7258,49.0,2.0689,3.31944,2.16765,-5.63,0,0,0,0,0,0
0,22990000,7201,49.0,6.64633,0.985961,10.2913,-5.399,0,0,0,0,0,0
0,22990000,7202,49.0,6.94581,1.23719,10.2912,-5.368,0,0,0,0,0,0
0,22990000,3629,25.0,13.4409,4.16296,5.60518,-5.223,0,0,0,0,0,0
0,22990000,7265,49.0,1.00339,5.08054,2.57902,-5.61,0,0,0,0,0,0
0,22990000,748,5.0,14.6742,12.3688,3.68895,-6.065,0,0,0,0,0,0
0,22990000,7263,49.0,1.3612,4.549,2.71479,-5.561,0,0,0,0,0,0
0,22990000,7259,49.0,1.99971,3.69536,2.25432,-5.62,0,0,0,0,0,0
0,22990000,7260,49.0,1.94441,3.74172,2.64463,-5.529,0,0,0,0,0,0
0,22990000,7295,49.0,10.9956,5.04472,14.0891,-5.96,0,0,0,0,0,0
0,22990000,7261,49.0,1.8353,4.0989,2.75995,-5.54,0,0,0,0,0,0
0,22990000,7264,49.0,1.22354,4.78947,2.44829,-5.583,0,0,0,0,0,0
0,22990000,7262,49.0,1.51532,4.20491,2.59129,-5.524,0,0,0,0,0,0
0,22990000,6988,47.0,14.1357,6.12022,13.4848,-5.496,0,0,0,0,0,0
0,22990000,3605,25.0,0.380192,0.970573,9.87939,-5.733,0,0,0,0,0,0
0,22990000,3621,25.0,15.4068,3.57546,6.59612,-5.53,0,0,0,0,0,0
0,22990000,7245,49.0,5.17097,0.849056,2.87,-5.55,0,0,0,0,0,0
